bgood/xsaitekpanels/radiopanel/rad1lwrfineinc/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad1lwrfinedec/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad1lwrcorseincticks/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad1lwrcorsedecticks/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad1lwrfineincticks/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad1lwrfinedecticks/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad1lwractstby/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad1lwrdigit1/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad1lwrdigit2/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad1lwrdigit3/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad1lwrdigit4/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad1lwrdigit5/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad1lwrdigit6/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad1lwrdigit7/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad1lwrdigit8/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad1lwrdigit9/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad1lwrdigit10/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2uprcom1/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2uprcom2/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2uprnav1/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2uprnav2/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2upradf/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2uprdme/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2uprxpdr/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2uprcorseinc/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2uprcorsedec/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2uprfineinc/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2uprfinedec/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2uprcorseincticks/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2uprcorsedecticks/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2uprfineincticks/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2uprfinedecticks/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2upractstby/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2uprdigit1/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2uprdigit2/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2uprdigit3/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2uprdigit4/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2uprdigit5/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2uprdigit6/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2uprdigit7/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2uprdigit8/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2uprdigit9/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2uprdigit10/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2writenow	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2lwrcom1/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2lwrcom2/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2lwrnav1/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2lwrnav2/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2lwradf/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2lwrdme/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2lwrxpdr/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2lwrcorseinc/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2lwrcorsedec/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2lwrfineinc/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2lwrfinedec/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2lwrcorseincticks/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2lwrcorsedecticks/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2lwrfineincticks/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2lwrfinedecticks/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2lwractstby/status	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2lwrdigit1/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2lwrdigit2/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2lwrdigit3/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2lwrdigit4/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2lwrdigit5/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2lwrdigit6/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2lwrdigit7/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2lwrdigit8/value	int	y	bool
bgood/xsaitekpanels/radiopanel/rad2lwrdigit9/value	int	y	bool
